sale_id,product_id,customer_id,sale_date,quantity,price_per_item
1,P006,C1006,2024-03-13,1,166.03
2,P006,C1026,2024-10-02,1,26.32
3,P002,C1007,04/03/2024,1,167.09
4,P004,C1003,2024-11-21,3,121.24
5,P004,C1007,01/18/2024,2,37.4
6,P005,C1040,2024-09-27,1,120.49
7,P004,C1039,2024/06/04,1,117.22
8,P004,C1029,08/22/2024,1,98.45
9,P006,C1019,2024/05/08,1,25.54
10,P008,C1007,06/24/2024,3,196.22
11,P007,C1042,2024-03-25,2,90.11
12,P002,C1031,09/19/2024,,76.52
13,P008,C1004,02/27/2024,2,142.43
14,P001,C1028,2024/12/23,3,198.68
15,P005,C1022,12/13/2024,1,188.71
16,P003,C1008,2024-10-04,1,155.95
17,P004,C1035,2024-07-13,1,95.34
18,P005,C1022,2024/03/27,1,144.21
19,P007,C1014,2024-04-05,1,54.06
20,P001,C1009,2024-08-27,1,63.56
21,P007,C1044,2024/09/12,1,191.08
22,P001,C1025,2024/08/28,2,85.62
23,P002,C1013,2024-08-21,1,22.79
24,P008,C1036,2024/03/04,1,29.44
25,P003,C1013,2024/09/04,1,23.35
26,P007,C1007,03/21/2024,3,79.18
27,P002,C1006,08/15/2024,1,26.31
28,P006,C1013,2024/12/09,1,108.09
29,P006,C1041,2024-03-23,3,66.63
30,P002,C1022,2024/12/28,1,182.56
31,P004,C1050,09/18/2024,,52.37
32,P004,C1031,2024/04/27,1,47.97
33,P006,C1044,12/01/2024,2,59.23
34,P006,C1006,08/26/2024,1,25.29
35,P004,C1039,2024-08-07,2,128.56
36,P001,C1007,2024/08/21,1,168.57
37,P007,C1040,12/25/2024,1,92.44
38,P006,C1005,02/26/2024,2,86.25
39,P003,C1041,2024-03-05,3,181.91
40,P003,C1009,10/27/2024,,188.11
41,P003,C1008,2024/01/01,1,110.04
42,P007,C1032,2024-04-27,1,50.42
43,P004,C1003,2024/10/11,2,168.49
44,P006,C1032,2024/08/22,2,167.15
45,P003,C1049,2024/09/05,1,175.82
46,P003,C1046,2024-10-01,1,99.95
47,P002,C1030,2024/09/02,3,110.83
48,P002,C1006,2024-09-02,1,18.01
49,P008,C1032,09/01/2024,1,126.37
50,P004,C1032,2024/12/09,3,163.39
51,P004,C1008,2024/12/17,1,169.59
52,P007,C1027,02/13/2024,1,137.51
53,P002,C1041,2024-04-22,1,188.5
54,P006,C1006,03/09/2024,1,151.86
55,P007,C1032,2024-08-06,1,144.19
56,P007,C1023,06/14/2024,1,27.51
57,P001,C1021,06/18/2024,,13.43
58,P005,C1017,2024-09-03,1,25.96
59,P001,C1016,03/09/2024,,165.6
60,P007,C1005,2024/03/18,2,143.07
61,P005,C1017,2024-01-26,2,180.09
62,P001,C1004,2024-11-03,3,172.67
63,P005,C1017,02/15/2024,3,89.36
64,P003,C1016,2024-01-17,1,194.14
65,P001,C1013,2024/03/07,1,110.9
66,P005,C1001,2024-08-17,1,75.92
67,P005,C1012,2024/01/01,3,114.69
68,P008,C1031,2024/04/15,,92.1
69,P007,C1045,2024-09-10,1,75.1
70,P003,C1047,2024-07-12,1,23.43
71,P005,C1032,2024-07-06,,169.83
72,P005,C1010,10/08/2024,1,97.29
73,P005,C1035,08/01/2024,1,194.79
74,P006,C1021,2024-04-02,1,44.75
75,P007,C1032,2024/02/16,,48.18
76,P001,C1025,2024-02-09,2,121.48
77,P001,C1033,2024-05-10,1,121.25
78,P003,C1031,11/23/2024,1,146.92
79,P003,C1045,2024/05/24,1,18.31
80,P007,C1036,2024-12-23,3,153.03
81,P001,C1005,2024/11/19,,132.14
82,P001,C1028,01/05/2024,1,81.55
83,P001,C1016,2024/11/01,,56.46
84,P001,C1005,2024/08/26,3,180.58
85,P002,C1015,12/24/2024,1,170.76
86,P004,C1004,04/24/2024,2,170.64
87,P008,C1004,2024/11/10,,132.11
88,P003,C1036,2024/06/09,,67.83
89,P003,C1006,01/16/2024,1,194.77
90,P004,C1029,2024/11/16,3,64.24
91,P008,C1001,02/18/2024,1,187.88
92,P005,C1013,08/03/2024,1,83.49
93,P002,C1023,2024/10/03,3,59.73
94,P003,C1045,2024/10/27,1,178.49
95,P006,C1031,04/16/2024,1,40.21
96,P008,C1020,2024-07-10,2,75.34
97,P002,C1012,06/01/2024,2,32.8
98,P001,C1037,12/10/2024,1,84.64
99,P002,C1042,2024-06-14,1,29.31
100,P005,C1012,11/05/2024,2,107.07
101,P006,C1046,07/01/2024,3,114.34
102,P002,C1041,01/24/2024,3,153.0
103,P005,C1021,2024-08-02,1,99.7
104,P005,C1041,2024/05/09,,59.42
105,P004,C1041,2024/05/16,2,32.74
106,P003,C1021,02/07/2024,3,51.79
107,P008,C1021,2024-07-05,1,27.23
108,P002,C1001,06/08/2024,3,48.4
109,P007,C1021,2024/07/14,1,81.59
110,P001,C1033,08/09/2024,1,140.47
111,P004,C1027,02/09/2024,2,132.69
112,P005,C1030,01/05/2024,,155.09
113,P008,C1015,2024/01/03,2,194.72
114,P002,C1046,2024/04/05,,30.68
115,P008,C1002,2024-02-18,1,54.18
116,P005,C1048,2024/03/21,,93.1
117,P002,C1016,2024/02/03,3,46.41
118,P004,C1017,2024/10/01,1,199.3
119,P006,C1015,11/27/2024,3,54.6
120,P001,C1031,07/23/2024,1,14.13
121,P007,C1014,2024/02/09,2,185.77
122,P008,C1025,2024/01/23,2,78.83
123,P004,C1031,2024/01/26,3,22.8
124,P004,C1048,2024-05-25,2,52.06
125,P005,C1031,2024/02/20,1,180.32
126,P007,C1001,2024-11-02,2,20.32
127,P003,C1045,2024-07-02,1,84.72
128,P006,C1041,2024-12-04,1,46.22
129,P008,C1021,2024/01/10,2,169.42
130,P008,C1026,2024-03-04,1,25.33
131,P002,C1019,09/25/2024,1,156.05
132,P007,C1028,02/02/2024,1,80.81
133,P004,C1015,06/12/2024,1,130.01
134,P007,C1003,01/13/2024,1,162.62
135,P005,C1021,2024/04/24,1,78.96
136,P001,C1019,2024/05/24,1,185.59
137,P001,C1014,2024/12/25,1,14.6
138,P002,C1031,08/23/2024,1,183.56
139,P003,C1049,2024/08/06,1,166.31
140,P003,C1050,10/08/2024,2,78.74
141,P002,C1041,2024-09-07,1,87.46
142,P001,C1006,08/18/2024,1,196.24
143,P002,C1045,2024-05-20,1,89.99
144,P008,C1043,03/08/2024,2,127.85
145,P004,C1036,2024-12-18,1,65.81
146,P005,C1011,06/09/2024,1,93.48
147,P004,C1025,2024/04/05,1,71.99
148,P005,C1041,2024-04-17,,163.59
149,P008,C1023,01/04/2024,1,169.7
150,P001,C1037,2024-05-08,1,124.08
151,P004,C1049,2024-02-12,2,124.57
152,P001,C1002,2024/02/21,3,76.43
153,P006,C1046,2024-06-05,1,17.25
154,P004,C1039,01/27/2024,,80.63
155,P005,C1026,02/07/2024,3,101.86
156,P002,C1041,2024-07-22,,111.45
157,P003,C1026,07/23/2024,1,136.87
158,P001,C1049,05/24/2024,2,89.11
159,P006,C1000,2024/11/07,2,48.69
160,P007,C1023,2024-03-14,2,119.77
161,P008,C1025,2024-03-05,3,37.06
162,P002,C1022,2024/10/20,3,42.61
163,P005,C1048,2024-03-17,1,82.9
