review_id,product_id,customer_id,rating,review_date,review_text
1,P002,C1012,3,2024-03-13,"Shipping took forever, item was fine though."
2,P003,C1035,1,2024-06-28,"Broken after two days of light use, very disappointed."
3,P004,C1038,4,2024-11-13,Nice design and easy to use.
4,P005,C1020,5,2024-10-08,"Works great, exactly as described. Very happy with this purchase."
5,P006,C1028,4,2024-03-12,Nice design and easy to use.
6,P007,C1002,4,2024-05-12,"Excellent quality and fast shipping, would buy again."
7,P008,C1003,1,2024-05-26,"Cheaply made, wore out much faster than expected."
8,P001,C1006,1,2024-03-11,The item arrived damaged and cracked in the box.
9,P002,C1047,,2024-05-19,"Excellent quality and fast shipping, would buy again."
10,P003,C1020,5,2024-06-09,"Works great, exactly as described. Very happy with this purchase."
11,P004,C1024,5,2024-03-15,"Solid build, does the job well."
12,P005,C1029,2,2024-12-07,"Shipping took forever, item was fine though."
13,P006,C1004,4,2024-10-28,"Excellent quality and fast shipping, would buy again."
14,P007,C1006,5,2024-07-27,"Excellent quality and fast shipping, would buy again."
15,P008,C1021,2,2024-06-27,"Broken after two days of light use, very disappointed."
16,P001,C1009,2,2024-06-08,"Broken after two days of light use, very disappointed."
17,P002,C1028,,2024-09-05,"Excellent quality and fast shipping, would buy again."
18,P003,C1026,5,2024-07-08,"Excellent quality and fast shipping, would buy again."
19,P004,C1021,3,2024-03-09,"A bit pricey for what you get, but works fine."
20,P005,C1030,5,2024-02-05,"Solid build, does the job well."
21,P006,C1050,,2024-11-07,"Works great, exactly as described. Very happy with this purchase."
22,P007,C1016,4,2024-04-12,"Solid build, does the job well."
23,P008,C1015,4,2024-02-13,"Solid build, does the job well."
24,P001,C1046,1,2024-05-05,"Poor quality materials, it fell apart within a week."
25,P002,C1032,5,2024-06-17,"Works great, exactly as described. Very happy with this purchase."
26,P003,C1011,2,2024-06-14,"Broken after two days of light use, very disappointed."
27,P004,C1017,1,2024-10-06,The item arrived damaged and cracked in the box.
28,P005,C1045,1,2024-03-07,"Poor quality materials, it fell apart within a week."
29,P006,C1046,,2024-08-25,"Works great, exactly as described. Very happy with this purchase."
30,P007,C1039,2,2024-11-23,"Shipping took forever, item was fine though."
31,P008,C1019,,2024-04-01,"Excellent quality and fast shipping, would buy again."
32,P001,C1046,2,2024-01-17,"Cheaply made, wore out much faster than expected."
33,P002,C1040,5,2024-08-03,"Solid build, does the job well."
34,P003,C1042,1,2024-05-08,The item arrived damaged and cracked in the box.
35,P004,C1010,2,2024-12-12,"A bit pricey for what you get, but works fine."
36,P005,C1033,5,2024-08-17,"Works great, exactly as described. Very happy with this purchase."
37,P006,C1020,1,2024-12-28,"Stopped working after a month, seems defective."
38,P007,C1006,5,2024-12-16,"Works great, exactly as described. Very happy with this purchase."
39,P008,C1034,,2024-03-01,"Works great, exactly as described. Very happy with this purchase."
40,P001,C1039,1,2024-03-06,"Broken after two days of light use, very disappointed."
41,P002,C1001,1,2024-02-23,"Stopped working after a month, seems defective."
42,P003,C1038,4,2024-11-19,"Solid build, does the job well."
43,P004,C1028,,2024-02-12,"Excellent quality and fast shipping, would buy again."
44,P005,C1017,4,2024-02-15,"Excellent quality and fast shipping, would buy again."
45,P006,C1007,2,2024-02-04,"Cheaply made, wore out much faster than expected."
46,P007,C1037,,2024-04-28,"Excellent quality and fast shipping, would buy again."
47,P008,C1047,3,2024-07-06,Customer service was slow to respond to my question.
48,P001,C1024,,2024-12-14,"Works great, exactly as described. Very happy with this purchase."
49,P002,C1003,5,2024-06-11,"Works great, exactly as described. Very happy with this purchase."
50,P003,C1027,,2024-10-26,"Solid build, does the job well."
51,P004,C1035,5,2024-01-11,"Solid build, does the job well."
52,P005,C1027,4,2024-11-21,"Solid build, does the job well."
53,P006,C1004,1,2024-06-14,"Broken after two days of light use, very disappointed."
54,P007,C1014,2,2024-03-14,Customer service was slow to respond to my question.
55,P008,C1002,,2024-01-02,Nice design and easy to use.
56,P001,C1039,,2024-05-21,"Solid build, does the job well."
57,P002,C1006,,2024-05-04,"Works great, exactly as described. Very happy with this purchase."
58,P003,C1002,4,2024-05-04,Nice design and easy to use.
59,P004,C1003,4,2024-10-17,"Excellent quality and fast shipping, would buy again."
60,P005,C1037,5,2024-09-05,"Works great, exactly as described. Very happy with this purchase."
61,P006,C1018,1,2024-07-19,"Cheaply made, wore out much faster than expected."
62,P007,C1047,2,2024-09-10,"Shipping took forever, item was fine though."
63,P008,C1024,,2024-04-18,"Excellent quality and fast shipping, would buy again."
64,P001,C1019,,2024-10-16,Nice design and easy to use.
65,P002,C1015,4,2024-06-08,"Solid build, does the job well."
66,P003,C1037,3,2024-07-01,Customer service was slow to respond to my question.
67,P004,C1020,4,2024-09-11,"Excellent quality and fast shipping, would buy again."
68,P005,C1018,4,2024-01-25,"Solid build, does the job well."
